IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.127.14,443,443,true,FRA,Europe,Frankfurt,264,5.19
152.70.51.213,443,443,true,FRA,Europe,Frankfurt,255,5.18
130.162.248.179,443,443,true,FRA,Europe,Frankfurt,315,5.16
141.144.194.108,443,443,true,FRA,Europe,Frankfurt,254,5.15
130.162.226.103,443,443,true,FRA,Europe,Frankfurt,255,5.15
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,133,5.14
130.162.167.92,443,443,true,FRA,Europe,Frankfurt,265,5.14
143.47.176.181,443,443,true,FRA,Europe,Frankfurt,263,5.13
141.144.195.64,443,443,true,FRA,Europe,Frankfurt,274,5.11
158.180.31.185,443,443,true,FRA,Europe,Frankfurt,249,5.09
140.238.95.243,443,443,true,FRA,Europe,Frankfurt,257,5.09
141.148.226.40,443,443,true,FRA,Europe,Frankfurt,254,5.09
138.2.179.215,443,443,true,FRA,Europe,Frankfurt,248,5.09
130.162.33.22,443,443,true,FRA,Europe,Frankfurt,248,5.08
141.144.227.106,443,443,true,FRA,Europe,Frankfurt,247,5.07
130.61.133.135,443,443,true,FRA,Europe,Frankfurt,250,5.07
141.148.224.57,443,443,true,FRA,Europe,Frankfurt,253,5.05
132.145.230.170,443,443,true,FRA,Europe,Frankfurt,247,5.04
130.162.182.232,443,443,true,FRA,Europe,Frankfurt,272,5.03
141.147.98.240,443,443,true,FRA,Europe,Frankfurt,264,5.03
138.3.242.119,443,443,true,FRA,Europe,Frankfurt,267,5.02
130.162.223.251,443,443,true,FRA,Europe,Frankfurt,248,5.01
143.47.180.177,443,443,true,FRA,Europe,Frankfurt,277,5.01
141.147.77.218,443,443,true,FRA,Europe,Frankfurt,292,5.00
158.178.158.110,443,443,true,FRA,Europe,Frankfurt,256,5.00
152.67.133.65,443,443,true,FRA,Europe,Frankfurt,266,5.00
144.24.188.23,443,443,true,FRA,Europe,Frankfurt,316,4.99
84.235.160.212,443,443,true,FRA,Europe,Frankfurt,254,4.99
84.8.147.48,443,443,true,FRA,Europe,Frankfurt,267,4.98
141.147.42.177,443,443,true,FRA,Europe,Frankfurt,316,4.98
143.47.190.238,443,443,true,FRA,Europe,Frankfurt,253,4.95
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,102,4.93
141.147.78.160,443,443,true,FRA,Europe,Frankfurt,258,4.91
141.147.69.67,443,443,true,FRA,Europe,Frankfurt,258,4.90
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,69,4.88
138.2.137.0,443,443,true,FRA,Europe,Frankfurt,319,4.87
143.47.189.113,443,443,true,FRA,Europe,Frankfurt,261,4.86
158.178.151.148,443,443,true,AMS,Europe,Amsterdam,256,4.86
130.162.187.171,443,443,true,FRA,Europe,Frankfurt,272,4.86
130.162.252.9,443,443,true,FRA,Europe,Frankfurt,247,4.84
141.144.207.120,443,443,true,FRA,Europe,Frankfurt,260,4.84
89.168.67.74,443,443,true,FRA,Europe,Frankfurt,247,4.82
141.147.74.205,443,443,true,FRA,Europe,Frankfurt,267,4.82
143.47.247.200,443,443,true,FRA,Europe,Frankfurt,257,4.80
141.144.205.67,443,443,true,FRA,Europe,Frankfurt,254,4.80
150.230.127.232,443,443,true,FRA,Europe,Frankfurt,266,4.80
130.61.10.59,443,443,true,FRA,Europe,Frankfurt,247,4.79
144.21.54.75,443,443,true,FRA,Europe,Frankfurt,256,4.77
141.148.245.109,443,443,true,FRA,Europe,Frankfurt,261,4.76
141.147.74.232,443,443,true,FRA,Europe,Frankfurt,266,4.75
150.230.115.64,443,443,true,FRA,Europe,Frankfurt,262,4.75
152.67.233.64,443,443,true,SJC,North America,San Jose,175,4.74
152.70.63.165,443,443,true,FRA,Europe,Frankfurt,257,4.74
143.47.226.205,443,443,true,FRA,Europe,Frankfurt,272,4.73
143.47.246.142,443,443,true,FRA,Europe,Frankfurt,267,4.72
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,249,4.71
143.47.225.232,443,443,true,FRA,Europe,Frankfurt,276,4.71
146.235.219.98,443,443,true,SJC,North America,San Jose,175,4.71
144.21.39.54,443,443,true,FRA,Europe,Frankfurt,254,4.70
150.230.116.93,443,443,true,FRA,Europe,Frankfurt,277,4.70
141.144.205.235,443,443,true,FRA,Europe,Frankfurt,255,4.70
138.3.252.199,443,443,true,FRA,Europe,Frankfurt,330,4.69
130.162.231.49,443,443,true,FRA,Europe,Frankfurt,247,4.65
193.123.60.92,443,443,true,FRA,Europe,Frankfurt,253,4.64
150.230.126.240,443,443,true,FRA,Europe,Frankfurt,267,4.63
141.147.91.63,443,443,true,FRA,Europe,Frankfurt,272,4.62
129.146.213.36,80,443,true,LAX,North America,Los Angeles,173,4.62
141.148.240.109,443,443,true,FRA,Europe,Frankfurt,254,4.61
144.21.37.94,443,443,true,FRA,Europe,Frankfurt,253,4.61
141.144.207.46,443,443,true,FRA,Europe,Frankfurt,254,4.59
84.235.169.148,443,443,true,FRA,Europe,Frankfurt,266,4.59
193.123.37.22,443,443,true,FRA,Europe,Frankfurt,278,4.59
143.47.243.13,443,443,true,FRA,Europe,Frankfurt,266,4.58
143.47.247.93,443,443,true,FRA,Europe,Frankfurt,256,4.57
141.148.243.111,443,443,true,FRA,Europe,Frankfurt,259,4.57
84.235.168.168,443,443,true,FRA,Europe,Frankfurt,261,4.57
141.145.199.188,443,443,true,CDG,Europe,Paris,304,4.54
155.248.196.123,443,443,true,YVR,North America,Vancouver,185,4.53
150.230.120.74,443,443,true,FRA,Europe,Frankfurt,257,4.52
152.67.129.113,443,443,true,FRA,Europe,Frankfurt,265,4.51
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,267,4.49
158.180.63.70,443,443,true,FRA,Europe,Frankfurt,263,4.49
132.226.202.34,443,443,true,FRA,Europe,Frankfurt,257,4.44
192.18.139.229,8443,443,true,SJC,North America,San Jose,183,4.43
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,253,4.42
155.248.202.141,443,443,true,SJC,North America,San Jose,180,4.41
141.144.192.218,443,443,true,FRA,Europe,Frankfurt,255,4.41
144.24.188.51,443,443,true,FRA,Europe,Frankfurt,249,4.40
152.67.150.177,443,443,true,FRA,Europe,Frankfurt,267,4.39
152.67.231.219,443,443,true,SJC,North America,San Jose,181,4.38
141.147.93.218,443,443,true,FRA,Europe,Frankfurt,266,4.38
132.226.214.20,443,443,true,FRA,Europe,Frankfurt,255,4.36
138.2.226.15,443,443,true,SJC,North America,San Jose,179,4.31
140.238.95.243,443,443,true,FRA,Europe,Frankfurt,267,4.30
158.101.98.60,2095,443,true,IAD,North America,Ashburn,259,4.30
152.70.54.150,443,443,true,FRA,Europe,Frankfurt,271,4.28
141.144.198.38,443,443,true,FRA,Europe,Frankfurt,255,4.21
141.147.49.101,443,443,true,FRA,Europe,Frankfurt,250,4.19
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,83,4.18
141.147.96.155,443,443,true,FRA,Europe,Frankfurt,266,4.18
141.147.0.133,443,443,true,FRA,Europe,Frankfurt,247,4.17
193.122.50.37,443,443,true,FRA,Europe,Frankfurt,250,4.17
152.67.151.149,443,443,true,FRA,Europe,Frankfurt,267,4.16
130.162.228.7,443,443,true,FRA,Europe,Frankfurt,282,4.16
150.230.20.254,443,443,true,FRA,Europe,Frankfurt,270,4.16
138.3.250.160,443,443,true,FRA,Europe,Frankfurt,250,4.15
141.147.69.107,443,443,true,FRA,Europe,Frankfurt,311,4.15
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,317,4.14
138.2.165.125,443,443,true,FRA,Europe,Frankfurt,316,4.09
